"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 27 21:13:40 GMT 2021","Wed Oct 27 21:13:40 GMT 2021","1","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"passed","Wed Oct 27 21:13:22 GMT 2021","Wed Oct 27 21:13:25 GMT 2021","2322","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"skipped","Wed Oct 27 21:13:03 GMT 2021","Wed Oct 27 21:13:03 GMT 2021","2","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
"failed","Wed Oct 27 21:13:27 GMT 2021","Wed Oct 27 21:13:38 GMT 2021","11078","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
"skipped","Wed Oct 27 21:13:38 GMT 2021","Wed Oct 27 21:13:38 GMT 2021","2","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"failed","Wed Oct 27 21:13:25 GMT 2021","Wed Oct 27 21:13:36 GMT 2021","11043","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
"passed","Wed Oct 27 21:13:20 GMT 2021","Wed Oct 27 21:13:22 GMT 2021","2439","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
"passed","Wed Oct 27 21:12:44 GMT 2021","Wed Oct 27 21:12:49 GMT 2021","4863","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"failed","Wed Oct 27 21:12:51 GMT 2021","Wed Oct 27 21:13:02 GMT 2021","11021","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"failed","Wed Oct 27 21:12:49 GMT 2021","Wed Oct 27 21:13:01 GMT 2021","11333","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"skipped","Wed Oct 27 21:13:05 GMT 2021","Wed Oct 27 21:13:05 GMT 2021","1","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
"passed","Wed Oct 27 21:12:43 GMT 2021","Wed Oct 27 21:12:47 GMT 2021","3577","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
