"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Oct 03 21:09:49 GMT 2021","Sun Oct 03 21:10:00 GMT 2021","10807","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
"skipped","Sun Oct 03 21:10:02 GMT 2021","Sun Oct 03 21:10:02 GMT 2021","2","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"passed","Sun Oct 03 21:11:47 GMT 2021","Sun Oct 03 21:11:50 GMT 2021","3125","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
"passed","Sun Oct 03 21:09:45 GMT 2021","Sun Oct 03 21:09:47 GMT 2021","2238","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"failed","Sun Oct 03 21:11:52 GMT 2021","Sun Oct 03 21:12:03 GMT 2021","11106","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"passed","Sun Oct 03 21:12:21 GMT 2021","Sun Oct 03 21:12:25 GMT 2021","3995","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"skipped","Sun Oct 03 21:12:29 GMT 2021","Sun Oct 03 21:12:29 GMT 2021","3","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"skipped","Sun Oct 03 21:12:06 GMT 2021","Sun Oct 03 21:12:06 GMT 2021","2","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
"skipped","Sun Oct 03 21:12:41 GMT 2021","Sun Oct 03 21:12:41 GMT 2021","2","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
"failed","Sun Oct 03 21:12:16 GMT 2021","Sun Oct 03 21:12:27 GMT 2021","10799","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
"failed","Sun Oct 03 21:12:27 GMT 2021","Sun Oct 03 21:12:39 GMT 2021","11105","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"passed","Sun Oct 03 21:12:12 GMT 2021","Sun Oct 03 21:12:14 GMT 2021","2284","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
