"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Sep 11 21:19:05 GMT 2021","Sat Sep 11 21:19:05 GMT 2021","1","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
"skipped","Sat Sep 11 21:20:54 GMT 2021","Sat Sep 11 21:20:54 GMT 2021","2","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"skipped","Sat Sep 11 21:19:23 GMT 2021","Sat Sep 11 21:19:23 GMT 2021","1","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
"passed","Sat Sep 11 21:19:12 GMT 2021","Sat Sep 11 21:19:14 GMT 2021","2452","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
"passed","Sat Sep 11 21:18:45 GMT 2021","Sat Sep 11 21:18:49 GMT 2021","3844","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"passed","Sat Sep 11 21:20:37 GMT 2021","Sat Sep 11 21:20:39 GMT 2021","1931","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"failed","Sat Sep 11 21:19:16 GMT 2021","Sat Sep 11 21:19:27 GMT 2021","11070","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
"skipped","Sat Sep 11 21:19:29 GMT 2021","Sat Sep 11 21:19:29 GMT 2021","4","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"passed","Sat Sep 11 21:19:03 GMT 2021","Sat Sep 11 21:19:08 GMT 2021","4295","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
"failed","Sat Sep 11 21:19:10 GMT 2021","Sat Sep 11 21:19:21 GMT 2021","11074","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"failed","Sat Sep 11 21:18:51 GMT 2021","Sat Sep 11 21:19:03 GMT 2021","11605","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"failed","Sat Sep 11 21:20:41 GMT 2021","Sat Sep 11 21:20:52 GMT 2021","10698","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
