"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Sep 10 07:51:59 GMT 2021","Fri Sep 10 07:51:59 GMT 2021","1","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"failed","Fri Sep 10 07:51:45 GMT 2021","Fri Sep 10 07:51:56 GMT 2021","11249","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
"passed","Fri Sep 10 07:52:38 GMT 2021","Fri Sep 10 07:52:41 GMT 2021","3525","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"failed","Fri Sep 10 07:52:33 GMT 2021","Fri Sep 10 07:52:44 GMT 2021","10735","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
"skipped","Fri Sep 10 07:52:57 GMT 2021","Fri Sep 10 07:52:57 GMT 2021","1","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
"failed","Fri Sep 10 07:52:18 GMT 2021","Fri Sep 10 07:52:29 GMT 2021","11091","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"skipped","Fri Sep 10 07:52:46 GMT 2021","Fri Sep 10 07:52:46 GMT 2021","3","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"passed","Fri Sep 10 07:52:13 GMT 2021","Fri Sep 10 07:52:16 GMT 2021","3221","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
"passed","Fri Sep 10 07:51:40 GMT 2021","Fri Sep 10 07:51:43 GMT 2021","3320","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"skipped","Fri Sep 10 07:52:31 GMT 2021","Fri Sep 10 07:52:31 GMT 2021","1","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
"failed","Fri Sep 10 07:52:43 GMT 2021","Fri Sep 10 07:52:55 GMT 2021","11289","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"passed","Fri Sep 10 07:52:29 GMT 2021","Fri Sep 10 07:52:31 GMT 2021","2014","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
