"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 10 07:35:38 GMT 2021","Fri Sep 10 07:35:50 GMT 2021","12090","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"passed","Fri Sep 10 07:35:32 GMT 2021","Fri Sep 10 07:35:36 GMT 2021","4041","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"failed","Fri Sep 10 07:33:41 GMT 2021","Fri Sep 10 07:33:52 GMT 2021","11447","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
"passed","Fri Sep 10 07:33:35 GMT 2021","Fri Sep 10 07:33:39 GMT 2021","3732","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"skipped","Fri Sep 10 07:34:48 GMT 2021","Fri Sep 10 07:34:48 GMT 2021","2","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"skipped","Fri Sep 10 07:33:55 GMT 2021","Fri Sep 10 07:33:55 GMT 2021","1","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"failed","Fri Sep 10 07:35:11 GMT 2021","Fri Sep 10 07:35:22 GMT 2021","11049","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"skipped","Fri Sep 10 07:35:24 GMT 2021","Fri Sep 10 07:35:24 GMT 2021","5","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
"passed","Fri Sep 10 07:35:06 GMT 2021","Fri Sep 10 07:35:09 GMT 2021","3549","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
"failed","Fri Sep 10 07:34:36 GMT 2021","Fri Sep 10 07:34:46 GMT 2021","10741","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
"passed","Fri Sep 10 07:34:32 GMT 2021","Fri Sep 10 07:34:33 GMT 2021","1982","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
"skipped","Fri Sep 10 07:35:53 GMT 2021","Fri Sep 10 07:35:53 GMT 2021","1","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
