"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 12 21:12:47 GMT 2021","Tue Oct 12 21:12:58 GMT 2021","11003","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
"skipped","Tue Oct 12 21:11:02 GMT 2021","Tue Oct 12 21:11:02 GMT 2021","1","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"skipped","Tue Oct 12 21:11:44 GMT 2021","Tue Oct 12 21:11:44 GMT 2021","1","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
"passed","Tue Oct 12 21:12:42 GMT 2021","Tue Oct 12 21:12:45 GMT 2021","2538","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
"skipped","Tue Oct 12 21:12:56 GMT 2021","Tue Oct 12 21:12:56 GMT 2021","2","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
"passed","Tue Oct 12 21:11:24 GMT 2021","Tue Oct 12 21:11:28 GMT 2021","3861","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
"passed","Tue Oct 12 21:10:43 GMT 2021","Tue Oct 12 21:10:47 GMT 2021","3883","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"passed","Tue Oct 12 21:12:35 GMT 2021","Tue Oct 12 21:12:39 GMT 2021","4359","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"failed","Tue Oct 12 21:12:42 GMT 2021","Tue Oct 12 21:12:53 GMT 2021","11763","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"skipped","Tue Oct 12 21:13:00 GMT 2021","Tue Oct 12 21:13:00 GMT 2021","4","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"failed","Tue Oct 12 21:11:30 GMT 2021","Tue Oct 12 21:11:42 GMT 2021","11027","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"failed","Tue Oct 12 21:10:49 GMT 2021","Tue Oct 12 21:11:00 GMT 2021","11264","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
