"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 26 21:13:04 GMT 2021","Tue Oct 26 21:13:15 GMT 2021","10947","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
"passed","Tue Oct 26 21:12:59 GMT 2021","Tue Oct 26 21:13:02 GMT 2021","2386","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
"skipped","Tue Oct 26 21:13:17 GMT 2021","Tue Oct 26 21:13:17 GMT 2021","4","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"passed","Tue Oct 26 21:13:02 GMT 2021","Tue Oct 26 21:13:07 GMT 2021","4580","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"passed","Tue Oct 26 21:12:24 GMT 2021","Tue Oct 26 21:12:28 GMT 2021","4252","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
"failed","Tue Oct 26 21:10:35 GMT 2021","Tue Oct 26 21:10:46 GMT 2021","11242","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
"skipped","Tue Oct 26 21:13:22 GMT 2021","Tue Oct 26 21:13:22 GMT 2021","2","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
"skipped","Tue Oct 26 21:12:44 GMT 2021","Tue Oct 26 21:12:44 GMT 2021","1","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
"skipped","Tue Oct 26 21:10:48 GMT 2021","Tue Oct 26 21:10:48 GMT 2021","2","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"failed","Tue Oct 26 21:12:30 GMT 2021","Tue Oct 26 21:12:42 GMT 2021","12198","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"passed","Tue Oct 26 21:10:29 GMT 2021","Tue Oct 26 21:10:32 GMT 2021","3004","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"failed","Tue Oct 26 21:13:09 GMT 2021","Tue Oct 26 21:13:20 GMT 2021","11208","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
