"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Sep 24 13:48:12 GMT 2021","Fri Sep 24 13:48:12 GMT 2021","3","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"passed","Fri Sep 24 13:47:33 GMT 2021","Fri Sep 24 13:47:36 GMT 2021","3613","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
"skipped","Fri Sep 24 13:47:52 GMT 2021","Fri Sep 24 13:47:52 GMT 2021","2","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
"passed","Fri Sep 24 13:46:12 GMT 2021","Fri Sep 24 13:46:15 GMT 2021","3127","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"failed","Fri Sep 24 13:47:34 GMT 2021","Fri Sep 24 13:47:45 GMT 2021","10868","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"skipped","Fri Sep 24 13:47:47 GMT 2021","Fri Sep 24 13:47:47 GMT 2021","1","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
"skipped","Fri Sep 24 13:46:31 GMT 2021","Fri Sep 24 13:46:31 GMT 2021","3","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"passed","Fri Sep 24 13:47:54 GMT 2021","Fri Sep 24 13:47:57 GMT 2021","2788","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
"passed","Fri Sep 24 13:47:29 GMT 2021","Fri Sep 24 13:47:32 GMT 2021","3160","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"failed","Fri Sep 24 13:47:38 GMT 2021","Fri Sep 24 13:47:50 GMT 2021","11355","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"failed","Fri Sep 24 13:47:59 GMT 2021","Fri Sep 24 13:48:10 GMT 2021","10767","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
"failed","Fri Sep 24 13:46:18 GMT 2021","Fri Sep 24 13:46:29 GMT 2021","11358","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
