"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 06 21:10:36 GMT 2021","Wed Oct 06 21:10:40 GMT 2021","4015","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"skipped","Wed Oct 06 21:10:56 GMT 2021","Wed Oct 06 21:10:56 GMT 2021","2","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"skipped","Wed Oct 06 21:13:18 GMT 2021","Wed Oct 06 21:13:18 GMT 2021","6","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"failed","Wed Oct 06 21:12:00 GMT 2021","Wed Oct 06 21:12:11 GMT 2021","11056","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"failed","Wed Oct 06 21:13:04 GMT 2021","Wed Oct 06 21:13:15 GMT 2021","11219","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
"failed","Wed Oct 06 21:11:52 GMT 2021","Wed Oct 06 21:12:03 GMT 2021","10939","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"failed","Wed Oct 06 21:10:42 GMT 2021","Wed Oct 06 21:10:53 GMT 2021","11404","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
"passed","Wed Oct 06 21:11:45 GMT 2021","Wed Oct 06 21:11:49 GMT 2021","4554","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"passed","Wed Oct 06 21:12:59 GMT 2021","Wed Oct 06 21:13:02 GMT 2021","3133","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
"passed","Wed Oct 06 21:11:54 GMT 2021","Wed Oct 06 21:11:58 GMT 2021","3479","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
"skipped","Wed Oct 06 21:12:13 GMT 2021","Wed Oct 06 21:12:13 GMT 2021","2","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
"skipped","Wed Oct 06 21:12:05 GMT 2021","Wed Oct 06 21:12:05 GMT 2021","2","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
