"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 24 09:45:05 GMT 2021","Fri Sep 24 09:45:17 GMT 2021","12094","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"skipped","Fri Sep 24 09:43:55 GMT 2021","Fri Sep 24 09:43:55 GMT 2021","2","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"passed","Fri Sep 24 09:45:01 GMT 2021","Fri Sep 24 09:45:04 GMT 2021","3345","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
"skipped","Fri Sep 24 09:45:20 GMT 2021","Fri Sep 24 09:45:20 GMT 2021","4","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
"passed","Fri Sep 24 09:43:36 GMT 2021","Fri Sep 24 09:43:39 GMT 2021","3324","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"failed","Fri Sep 24 09:44:37 GMT 2021","Fri Sep 24 09:44:48 GMT 2021","10856","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
"skipped","Fri Sep 24 09:44:50 GMT 2021","Fri Sep 24 09:44:50 GMT 2021","2","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"failed","Fri Sep 24 09:43:42 GMT 2021","Fri Sep 24 09:43:53 GMT 2021","11430","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
"failed","Fri Sep 24 09:45:07 GMT 2021","Fri Sep 24 09:45:18 GMT 2021","11035","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"passed","Fri Sep 24 09:44:33 GMT 2021","Fri Sep 24 09:44:35 GMT 2021","2063","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
"passed","Fri Sep 24 09:45:00 GMT 2021","Fri Sep 24 09:45:03 GMT 2021","3652","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"skipped","Fri Sep 24 09:45:20 GMT 2021","Fri Sep 24 09:45:20 GMT 2021","1","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
