"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Sep 10 06:32:18 GMT 2021","Fri Sep 10 06:32:18 GMT 2021","1","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"failed","Fri Sep 10 06:31:55 GMT 2021","Fri Sep 10 06:32:06 GMT 2021","11274","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"skipped","Fri Sep 10 06:32:17 GMT 2021","Fri Sep 10 06:32:17 GMT 2021","1","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
"failed","Fri Sep 10 06:32:04 GMT 2021","Fri Sep 10 06:32:15 GMT 2021","11028","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
"skipped","Fri Sep 10 06:32:05 GMT 2021","Fri Sep 10 06:32:05 GMT 2021","3","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"passed","Fri Sep 10 06:32:00 GMT 2021","Fri Sep 10 06:32:02 GMT 2021","2575","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"failed","Fri Sep 10 06:31:52 GMT 2021","Fri Sep 10 06:32:03 GMT 2021","10876","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
"failed","Fri Sep 10 06:32:04 GMT 2021","Fri Sep 10 06:32:15 GMT 2021","11230","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"skipped","Fri Sep 10 06:32:08 GMT 2021","Fri Sep 10 06:32:08 GMT 2021","1","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
"passed","Fri Sep 10 06:31:58 GMT 2021","Fri Sep 10 06:32:02 GMT 2021","4157","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"passed","Fri Sep 10 06:31:48 GMT 2021","Fri Sep 10 06:31:50 GMT 2021","2275","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
"passed","Fri Sep 10 06:31:48 GMT 2021","Fri Sep 10 06:31:52 GMT 2021","3958","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
