"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Oct 17 21:09:47 GMT 2021","Sun Oct 17 21:09:47 GMT 2021","1","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"passed","Sun Oct 17 21:12:21 GMT 2021","Sun Oct 17 21:12:26 GMT 2021","5554","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"failed","Sun Oct 17 21:12:29 GMT 2021","Sun Oct 17 21:12:40 GMT 2021","11244","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"skipped","Sun Oct 17 21:12:42 GMT 2021","Sun Oct 17 21:12:42 GMT 2021","1","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
"skipped","Sun Oct 17 21:11:18 GMT 2021","Sun Oct 17 21:11:18 GMT 2021","2","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
"skipped","Sun Oct 17 21:12:36 GMT 2021","Sun Oct 17 21:12:36 GMT 2021","3","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"failed","Sun Oct 17 21:09:34 GMT 2021","Sun Oct 17 21:09:45 GMT 2021","11015","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
"passed","Sun Oct 17 21:09:29 GMT 2021","Sun Oct 17 21:09:32 GMT 2021","2544","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"failed","Sun Oct 17 21:11:04 GMT 2021","Sun Oct 17 21:11:16 GMT 2021","11068","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"passed","Sun Oct 17 21:10:59 GMT 2021","Sun Oct 17 21:11:02 GMT 2021","3597","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
"passed","Sun Oct 17 21:12:19 GMT 2021","Sun Oct 17 21:12:21 GMT 2021","2596","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
"failed","Sun Oct 17 21:12:23 GMT 2021","Sun Oct 17 21:12:34 GMT 2021","10914","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
