"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 10 08:51:15 GMT 2021","Fri Sep 10 08:51:18 GMT 2021","2763","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"failed","Fri Sep 10 08:51:20 GMT 2021","Fri Sep 10 08:51:31 GMT 2021","11209","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"failed","Fri Sep 10 08:51:25 GMT 2021","Fri Sep 10 08:51:36 GMT 2021","10832","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
"failed","Fri Sep 10 08:51:22 GMT 2021","Fri Sep 10 08:51:33 GMT 2021","10816","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"passed","Fri Sep 10 08:51:17 GMT 2021","Fri Sep 10 08:51:20 GMT 2021","3012","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
"failed","Fri Sep 10 08:49:55 GMT 2021","Fri Sep 10 08:50:06 GMT 2021","11186","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
"passed","Fri Sep 10 08:49:49 GMT 2021","Fri Sep 10 08:49:52 GMT 2021","2933","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"skipped","Fri Sep 10 08:51:38 GMT 2021","Fri Sep 10 08:51:38 GMT 2021","4","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"passed","Fri Sep 10 08:51:21 GMT 2021","Fri Sep 10 08:51:23 GMT 2021","1944","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
"skipped","Fri Sep 10 08:51:33 GMT 2021","Fri Sep 10 08:51:33 GMT 2021","1","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
"skipped","Fri Sep 10 08:51:35 GMT 2021","Fri Sep 10 08:51:35 GMT 2021","1","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
"skipped","Fri Sep 10 08:50:08 GMT 2021","Fri Sep 10 08:50:08 GMT 2021","1","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
