"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 23 21:19:38 GMT 2021","Thu Sep 23 21:19:42 GMT 2021","4135","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"skipped","Thu Sep 23 21:19:58 GMT 2021","Thu Sep 23 21:19:58 GMT 2021","4","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
"failed","Thu Sep 23 21:19:44 GMT 2021","Thu Sep 23 21:19:56 GMT 2021","11766","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"passed","Thu Sep 23 21:19:37 GMT 2021","Thu Sep 23 21:19:39 GMT 2021","2421","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
"skipped","Thu Sep 23 21:18:58 GMT 2021","Thu Sep 23 21:18:58 GMT 2021","1","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
"failed","Thu Sep 23 21:18:45 GMT 2021","Thu Sep 23 21:18:56 GMT 2021","11265","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"passed","Thu Sep 23 21:17:35 GMT 2021","Thu Sep 23 21:17:37 GMT 2021","2470","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"passed","Thu Sep 23 21:18:39 GMT 2021","Thu Sep 23 21:18:43 GMT 2021","3479","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
"failed","Thu Sep 23 21:17:39 GMT 2021","Thu Sep 23 21:17:50 GMT 2021","11062","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
"skipped","Thu Sep 23 21:19:54 GMT 2021","Thu Sep 23 21:19:54 GMT 2021","5","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"skipped","Thu Sep 23 21:17:53 GMT 2021","Thu Sep 23 21:17:53 GMT 2021","1","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"failed","Thu Sep 23 21:19:41 GMT 2021","Thu Sep 23 21:19:52 GMT 2021","10862","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
