"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 25 21:13:27 GMT 2021","Mon Oct 25 21:13:30 GMT 2021","2656","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
"failed","Mon Oct 25 21:12:51 GMT 2021","Mon Oct 25 21:13:02 GMT 2021","11002","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"skipped","Mon Oct 25 21:10:23 GMT 2021","Mon Oct 25 21:10:23 GMT 2021","1","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"failed","Mon Oct 25 21:10:10 GMT 2021","Mon Oct 25 21:10:21 GMT 2021","10761","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
"skipped","Mon Oct 25 21:13:46 GMT 2021","Mon Oct 25 21:13:46 GMT 2021","5","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"passed","Mon Oct 25 21:13:02 GMT 2021","Mon Oct 25 21:13:06 GMT 2021","4069","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
"failed","Mon Oct 25 21:13:32 GMT 2021","Mon Oct 25 21:13:43 GMT 2021","11434","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
"skipped","Mon Oct 25 21:13:05 GMT 2021","Mon Oct 25 21:13:05 GMT 2021","1","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
"passed","Mon Oct 25 21:10:05 GMT 2021","Mon Oct 25 21:10:08 GMT 2021","2272","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"passed","Mon Oct 25 21:12:45 GMT 2021","Mon Oct 25 21:12:49 GMT 2021","3986","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"failed","Mon Oct 25 21:13:08 GMT 2021","Mon Oct 25 21:13:19 GMT 2021","11313","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"skipped","Mon Oct 25 21:13:22 GMT 2021","Mon Oct 25 21:13:22 GMT 2021","2","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
