"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Sep 10 06:16:21 GMT 2021","Fri Sep 10 06:16:21 GMT 2021","1","","Home page spec [CHROME - darwin] ","","","","Skipped test [CHROME - darwin] ",""
"passed","Fri Sep 10 06:18:32 GMT 2021","Fri Sep 10 06:18:36 GMT 2021","4735","","Home page spec [EDGE - win32] ","","","","Passed test [EDGE - win32] ",""
"failed","Fri Sep 10 06:16:08 GMT 2021","Fri Sep 10 06:16:19 GMT 2021","10717","","Home page spec [CHROME - darwin] ","","","","Failed test [CHROME - darwin] ",""
"passed","Fri Sep 10 06:16:04 GMT 2021","Fri Sep 10 06:16:06 GMT 2021","1846","","Home page spec [CHROME - darwin] ","","","","Passed test [CHROME - darwin] ",""
"failed","Fri Sep 10 06:18:19 GMT 2021","Fri Sep 10 06:18:30 GMT 2021","10726","","Home page spec [FIREFOX - win32] ","","","","Failed test [FIREFOX - win32] ",""
"skipped","Fri Sep 10 06:18:52 GMT 2021","Fri Sep 10 06:18:52 GMT 2021","2","","Home page spec [EDGE - win32] ","","","","Skipped test [EDGE - win32] ",""
"failed","Fri Sep 10 06:18:32 GMT 2021","Fri Sep 10 06:18:43 GMT 2021","11133","","Home page spec [CHROME - win32] ","","","","Failed test [CHROME - win32] ",""
"skipped","Fri Sep 10 06:18:32 GMT 2021","Fri Sep 10 06:18:32 GMT 2021","3","","Home page spec [FIREFOX - win32] ","","","","Skipped test [FIREFOX - win32] ",""
"failed","Fri Sep 10 06:18:39 GMT 2021","Fri Sep 10 06:18:50 GMT 2021","11254","","Home page spec [EDGE - win32] ","","","","Failed test [EDGE - win32] ",""
"passed","Fri Sep 10 06:18:15 GMT 2021","Fri Sep 10 06:18:17 GMT 2021","2285","","Home page spec [FIREFOX - win32] ","","","","Passed test [FIREFOX - win32] ",""
"passed","Fri Sep 10 06:18:26 GMT 2021","Fri Sep 10 06:18:30 GMT 2021","3758","","Home page spec [CHROME - win32] ","","","","Passed test [CHROME - win32] ",""
"skipped","Fri Sep 10 06:18:45 GMT 2021","Fri Sep 10 06:18:45 GMT 2021","2","","Home page spec [CHROME - win32] ","","","","Skipped test [CHROME - win32] ",""
